X,date,year,plot date,month,prcp.m,pet.m,prcp_3,pet_3,diff,spei_3,spi_3,spi6,spei6,spi3,spei3,,,,,,
1,1/1/2000,2000,2000,1,0.44516129,0.130769064,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
2,2/1/2000,2000,2000.083333,2,0.255172414,0.165037807,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
3,3/1/2000,2000,2000.166667,3,0.741935484,0.462778945,0.480756396,0.252861939,0.227894457,-0.387991343,0.031614765,NA,NA,6.48E-05,-0.438597997,,,,,,
4,4/1/2000,2000,2000.25,4,1.05,0.887821558,0.682369299,0.50521277,0.177156529,-1.203896943,-0.773634132,NA,NA,-0.719771004,-1.227700381,,,,,,
5,5/1/2000,2000,2000.333333,5,1.561290323,1.781952607,1.117741935,1.04418437,0.073557565,-1.340313105,-1.054587553,NA,NA,-1.010986814,-1.373517323,,,,,,
6,6/1/2000,2000,2000.416667,6,1.663333333,3.026488655,1.424874552,1.898754273,-0.473879721,-1.147675194,-1.072806094,-1.096310244,-1.355902595,-1.006273569,-1.201291807,,,,,,
7,7/1/2000,2000,2000.5,7,0.670967742,3.034154553,1.298530466,2.614198605,-1.315668139,-1.298862156,-1.677283209,-1.517134983,-1.507214591,-1.558052356,-1.328295577,,,,,,
8,8/1/2000,2000,2000.583333,8,2.238709677,2.916311665,1.524336918,2.992318291,-1.467981373,-0.639830312,-1.09668325,-1.552199193,-1.556351654,-1.015718189,-0.67645666,,,,,,
9,9/1/2000,2000,2000.666667,9,1.26,2.129982277,1.389892473,2.693482831,-1.303590358,-1.192650326,-1.795756253,-1.799243127,-1.953999058,-1.715713528,-1.228301581,,,,,,
10,10/1/2000,2000,2000.75,10,0.625806452,0.747571672,1.37483871,1.931288538,-0.556449828,-1.658165949,-2.355912634,-2.783051353,-1.945155703,-2.342650639,-1.626412197,,,,,,
11,11/1/2000,2000,2000.833333,11,1.586666667,0.213479564,1.157491039,1.030344504,0.127146535,-1.5236576,-2.185398609,-2.629303298,-1.877637337,-2.172110649,-1.538098632,,,,,,
